"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0X120","2020-03-17 00:00:00","28.000","153.000","0.900","20.000","0.710","1018.600","","0.000","-99.000","-99.000","-99.000","25.100","","17.100",""
"C0R100","2020-03-17 00:00:00","1006.000","0.000","0.000","11.900","0.990","908.600","","0.000","-99.000","-99.000","-99.000","19.100","","8.900",""
"C0C700","2020-03-17 00:00:00","151.000","126.000","1.800","17.900","0.510","1002.900","","0.000","-99.000","-99.000","-99.000","22.600","","14.000",""
"C0W130","2020-03-17 00:00:00","18.000","10.000","3.100","20.300","0.680","1017.600","","0.000","-99.000","-99.000","-99.000","24.200","","19.400",""
"C0F9R0","2020-03-17 00:00:00","20.000","0.000","0.000","19.600","0.600","1019.300","","0.000","-99.000","-99.000","-99.000","23.800","","15.100",""
"C0V660","2020-03-17 00:00:00","25.000","105.000","1.100","20.400","0.630","1018.000","","0.000","-99.000","-99.000","-99.000","25.100","","17.400",""
"C0G780","2020-03-17 00:00:00","27.000","202.000","0.400","19.400","0.680","1017.300","","0.000","-99.000","-99.000","-99.000","24.300","","16.100",""
"C0C590","2020-03-17 00:00:00","72.000","126.000","2.500","17.900","0.530","1010.800","","0.000","-99.000","-99.000","-99.000","24.400","","12.000",""
"C0I520","2020-03-17 00:00:00","3860.000","78.000","2.800","-0.100","0.900","643.100","","-99.000","11.400","217.000","","3.000","","-1.800",""
"C0M790","2020-03-17 00:00:00","15.000","250.000","0.400","19.100","0.720","1017.700","","0.000","-99.000","-99.000","-99.000","25.900","","16.200",""
"C0R130","2020-03-17 00:00:00","1040.000","97.000","1.300","12.700","0.870","902.600","","0.000","-99.000","-99.000","-99.000","22.100","","10.200",""
"C0AH30","2020-03-17 00:00:00","755.000","162.000","7.000","13.500","0.780","935.000","","0.000","-99.000","-99.000","-99.000","18.000","","10.200",""
"C0X170","2020-03-17 00:00:00","50.000","52.000","0.800","18.000","0.830","1014.400","","0.000","-99.000","-99.000","-99.000","25.900","","15.100",""
"C0K291","2020-03-17 00:00:00","8.000","0.000","0.000","19.300","0.850","1019.900","","0.000","-99.000","-99.000","-99.000","23.500","","15.000",""
"C0D480","2020-03-17 00:00:00","223.000","0.000","0.000","15.300","0.710","993.500","","0.000","-99.000","-99.000","-99.000","25.700","","9.700",""
"C0F0C0","2020-03-17 00:00:00","983.000","175.000","0.300","12.900","0.910","910.000","","0.000","-99.000","-99.000","-99.000","19.500","","10.700",""
"C0U860","2020-03-17 00:00:00","5.000","311.000","0.300","17.000","0.670","1022.200","","0.000","-99.000","-99.000","-99.000","23.200","","12.400",""
"C0UA50","2020-03-17 00:00:00","808.000","33.000","1.700","11.300","0.770","929.600","","0.000","-99.000","-99.000","-99.000","17.000","","8.500",""
"C0X320","2020-03-17 00:00:00","30.000","175.000","1.200","15.800","0.850","1016.500","","0.000","-99.000","-99.000","-99.000","26.300","","14.300",""
"C0T960","2020-03-17 00:00:00","120.000","0.000","0.000","13.000","1.000","1008.900","","0.000","-99.000","-99.000","-99.000","19.000","","13.000",""
"C0SA80","2020-03-17 00:00:00","136.000","275.000","0.700","14.600","0.910","1007.100","","0.000","-99.000","-99.000","-99.000","20.700","","13.500",""
"C0E780","2020-03-17 00:00:00","160.000","215.000","0.600","17.500","0.680","1001.700","","0.000","-99.000","-99.000","-99.000","25.100","","11.900",""
"C0F9Q0","2020-03-17 00:00:00","149.000","129.000","1.800","17.900","0.720","1002.400","","0.000","-99.000","-99.000","-99.000","23.400","","13.600",""
"C0F9X0","2020-03-17 00:00:00","166.000","231.000","1.700","19.100","0.600","1002.100","","0.000","-99.000","-99.000","-99.000","23.100","","15.300",""
"C0F0D0","2020-03-17 00:00:00","3171.000","231.000","1.600","4.400","0.840","699.700","","0.000","-99.000","-99.000","-99.000","11.800","","0.900",""
"C0S730","2020-03-17 00:00:00","110.000","57.000","3.500","18.000","0.670","1009.500","","0.000","-99.000","-99.000","-99.000","20.900","","17.800",""
"C0T790","2020-03-17 00:00:00","2830.000","279.000","1.000","7.500","0.790","728.700","","0.000","-99.000","-99.000","-99.000","17.600","","1.500",""
"C0M830","2020-03-17 00:00:00","540.000","320.000","0.500","15.500","0.860","960.400","","0.000","-99.000","-99.000","-99.000","23.400","","11.700",""
"C0V750","2020-03-17 00:00:00","50.000","32.000","1.200","20.800","0.640","1015.900","","0.000","-99.000","-99.000","-99.000","25.300","","17.500",""
"C0K530","2020-03-17 00:00:00","12.000","204.000","1.000","19.800","0.640","1019.300","","0.000","-99.000","-99.000","-99.000","23.400","","15.100",""
"C0M780","2020-03-17 00:00:00","30.000","0.000","0.000","19.200","0.710","1017.600","","0.000","-99.000","-99.000","-99.000","24.800","","16.200",""
"C0K510","2020-03-17 00:00:00","10.000","222.000","0.400","19.900","0.710","1018.600","","0.000","-99.000","-99.000","-99.000","24.700","","14.800",""
"C0D650","2020-03-17 00:00:00","97.000","114.000","1.300","18.700","0.550","1008.700","","0.000","-99.000","-99.000","-99.000","24.300","","13.500",""
"C0U910","2020-03-17 00:00:00","17.000","331.000","1.000","15.500","0.700","1020.400","","0.000","-99.000","-99.000","-99.000","21.600","","13.600",""
"C0U600","2020-03-17 00:00:00","10.000","317.000","0.400","16.300","0.650","1020.900","","0.000","-99.000","-99.000","-99.000","22.800","","12.400",""
"C0G820","2020-03-17 00:00:00","29.000","254.000","0.500","17.800","0.810","1016.700","","0.000","-99.000","-99.000","-99.000","25.700","","14.100",""
"C0R590","2020-03-17 00:00:00","72.000","14.000","1.500","19.900","0.820","1012.000","","0.000","-99.000","-99.000","-99.000","25.500","","15.900",""
"C0A9E0","2020-03-17 00:00:00","26.000","101.000","0.700","19.400","0.450","1018.500","","0.000","-99.000","-99.000","-99.000","24.100","","15.600",""
"C0R480","2020-03-17 00:00:00","57.000","0.000","0.000","20.500","0.730","1013.300","","0.000","-99.000","-99.000","-99.000","26.300","","16.200",""
"C0X300","2020-03-17 00:00:00","70.000","0.000","0.000","16.100","0.920","1012.400","","0.000","-99.000","-99.000","-99.000","25.700","","14.200",""
"C0U970","2020-03-17 00:00:00","7.000","244.000","2.000","16.400","0.660","1022.900","","0.000","-99.000","-99.000","-99.000","23.000","","13.600",""
"C0R340","2020-03-17 00:00:00","230.000","25.000","0.800","14.100","0.890","995.300","","0.000","-99.000","-99.000","-99.000","22.100","","12.900",""
"C0M750","2020-03-17 00:00:00","10.000","0.000","0.000","20.400","0.690","1019.400","","0.000","-99.000","-99.000","-99.000","23.900","","16.100",""
"C0I110","2020-03-17 00:00:00","161.000","155.000","0.800","17.600","0.800","1002.900","","0.000","-99.000","-99.000","-99.000","25.700","","15.300",""
"C0V370","2020-03-17 00:00:00","74.000","0.000","0.000","17.400","0.880","1012.700","","0.000","-99.000","-99.000","-99.000","26.200","","13.600",""
"C0C690","2020-03-17 00:00:00","242.000","158.000","1.600","16.800","0.490","991.700","","0.000","-99.000","-99.000","-99.000","21.600","","13.400",""
"C0A540","2020-03-17 00:00:00","401.000","123.000","0.800","15.200","0.610","974.600","","0.000","-99.000","-99.000","-99.000","19.700","","9.300",""
"C0SA60","2020-03-17 00:00:00","6.000","343.000","1.300","17.300","0.720","1021.600","","0.000","-99.000","-99.000","-99.000","22.600","","16.600",""
"C0H950","2020-03-17 00:00:00","192.000","0.000","0.000","15.100","0.930","998.600","","0.000","-99.000","-99.000","-99.000","25.200","","12.900",""
"C0O960","2020-03-17 00:00:00","112.000","0.000","0.000","18.700","0.720","1006.600","","0.000","-99.000","-99.000","-99.000","26.400","","14.800",""
"C0E880","2020-03-17 00:00:00","507.000","183.000","2.600","17.700","0.700","962.400","","0.000","-99.000","-99.000","-99.000","22.300","","15.000",""
"C0AH10","2020-03-17 00:00:00","30.000","159.000","1.500","19.900","0.450","1016.900","","0.000","-99.000","-99.000","-99.000","23.200","","15.500",""
"C0R680","2020-03-17 00:00:00","13.000","37.000","2.300","20.300","0.640","1020.500","","0.000","-99.000","-99.000","-99.000","22.300","","18.600",""
